regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,S,D,RESBDGAPAOldCWA___FRESRELC_23,0.88,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,S,N,RESBDGAPAOldCWA___FRESRELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,S,P1,RESBDGAPAOldCWA___FRESRELC_23,0.79,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,S,P2,RESBDGAPAOldCWA___FRESRELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,R,D,RESBDGAPAOldCWA___FRESRELC_23,0.92,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,R,N,RESBDGAPAOldCWA___FRESRELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,R,P1,RESBDGAPAOldCWA___FRESRELC_23,0.73,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,R,P2,RESBDGAPAOldCWA___FRESRELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,F,D,RESBDGAPAOldCWA___FRESRELC_23,0.96,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,F,N,RESBDGAPAOldCWA___FRESRELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
